ChildcareComments,n,Category,Category2,Category3,Category4,Category5,Category6
People in my program had their first kids as grad students and brought them to class. Luckily our professors have been accommodating and welcoming of the kids but I know that it has been stressful for my peers to because they didn't even have the option of daycare on campus (and BYU is supposedly super family-friendly) because the only daycare is so hard to get into to. My friend would have to go to a different building to breastfeed because there were no accommodations in our building. Luckily her husband (who is also a full-time student) goes to UVU where they have a huge daycare and even have a special division for newborns.,1,Availability (+),Mother's rooms,Mental Health,,,
"Personally, I have a great situation with Grandma living close-by. But I am breastfeeding and it is hard to pump on campus to keep up  with what he's eating at home. I wish I could just feed my baby instead of taking that time to pump on campus. An on-campus daycare would allow for me to step in and breastfeed my baby quickly before slipping out again.",1,Availability (+),,,,,
Provide extra funding/financial aid to struggling parents.,1,Financial Barrier,Mental Health,,,,
Realize it's more of a problem than you think with young mothers,1,Availability (+),Female student support,,,,
Rising cost of living vs. unchanged stipends,1,Availability (+),Financial Barrier,,,,
"Satisfied we could hire a family member we trust, but hard to pay $20 an hour. It's a big part of our weekly expense",1,Availability (+),Financial Barrier,,,,
"Since I am older and am in a stable position with my wife, childcare is not an issue for me.",1,No issue,,,,,
"Since I have no children, not really!",1,NA,,,,,
"Some families might require it, but out of the students I know, most don't.",1,Availability (+),,,,,
"Some of my fellow grad students do have children. I am sure that childcare services would help them be able to attend classes, do research, work at the lab school etc.",1,Availability (+),Academic Progress,,,,
Some of the students in my class have children and it is difficult for them to get to class on time because they work and then have to take their children to a child care provider. If a teacher is pretty strict about being on time this can be difficult.,1,Availability (+),Accommodation & Faculty support,,,,
Subsidies would be nice,1,Availability (+),Financial Barrier,,,,
Sugary food are too common at daycares. That's the biggest thing we don't like about our current arrangement.,1,Availability (+),Other,,,,
Take at look at the University of Utah program. Splendid.,1,Availability (+),,,,,
That would be nice for those that need it.,1,Availability (+),,,,,
"The availability of childcare, whether from a family member of paid service, will determine a parent’s ability to excel or succeed in school. I can’t think of anything more likely to prevent someone from excelling in school than having children but not having childcare.",1,Availability (+),Academic Progress,,,,
"The hard part for grad students is we don't make much of course so our options are limited. It's especially difficult just after having a baby when a normal employee would get a few weeks of leave. School doesn't stop for us so that transition is pretty hard, especially for student moms.",1,Availability (+),Financial Barrier,Female student support,Accommodation & Faculty support,,
"The Harold B. Lee library (Provo campus) has a family friendly study area on level 3. Inside this area are rooms for nursing mothers, study rooms, play areas for children and I believe also changing facilities and play areas for children. This is not limited to only families, so mixed study groups can also use it.",1,NA,,,,,
The lab is not an appropriate place to have your children. It's a danger to the children and those involved with the lab.,1,Availability (+),Other,,,,
There are little to no options for childcare in Provo and the surrounding areas. BYU needs to be aware of this issue and find ways to support their students (and faculty) by partnering with the community to look for solutions. BYU students are encouraged to have families yet there are few resources to help support families when they are in school.,1,Availability (+),,,,,
There are many who have kids but dont have access to childcare,1,Availability (+),,,,,
There are not many options and childcare that is recommended by others have about a 6 months wait.,1,Availability (+),,,,,
There are very few good options for childcare in the community around BYU. I waited until my youngest child was attending kindergarten in part because of this reason. Having on campus and subsidized childcare for graduate students (as well as faculty) could be very helpful for families at BYU.,1,Availability (+),Financial Barrier,Graduate dissuasion,Family Encouragement,,
"There could be better options out there, and more of them.",1,Availability (+),,,,,
There is no childcare offered/explained to law school students,1,Availability (+),Information,,,,
There is none,1,Availability (+),,,,,
There needs to be more of it.,1,Availability (+),,,,,
There should be an option on campus for parents to have daycare for their kids.,1,Availability (+),,,,,
"There should be options provided by BYU, just like every other university in utah.",1,Availability (+),,,,,
This would be nice and make having children while studying much easier,1,Availability (+),Academic Progress,,,,
To have child care program especially to those parents that are both graduate students,1,Availability (+),Family Encouragement,Academic Progress,,,
Too expensive so we can't do it.,1,Availability (+),Financial Barrier,,,,
"We are currently having an in-law take care of our children while we are at school. Though convenient, it doesn’t help when our schedules are crazy and we make our way back to watch the kids. Time to do homework and any school prep is non existent. I can’t study at home because I separate my school and home work. It wouldn’t be fair to my kids to constantly be on my devices and not giving them attention. It’s hard enough as it is. We need childcare that is more dependable. If it went into tuition and didn’t come out of my wallet every week or so for my in-law, it would be less stress and more dependable. My in-law likes to do things on her own time and takes trips. Then I have to find another sitter. Prices vary. My kids are 3. They can’t sit still in a classroom during a lecture. I can’t have them distract me from trying to pay attention.",1,Availability (+),Academic Progress,Family Encouragement,Scheduling,Mental Health,Financial Barrier
"We are employees of BYU, who put in more than full-time hours, but are paid on a part-time basis. We aren't compensated enough to hire help. Those of us who aren't lucky enough to have family around to help out are in a real sore spot. BYU's lack of assistance in this area seems to conflict with the Church's teachings of making family a priority.",1,Availability (+),Family Encouragement,Financial Barrier,Mental Health,,
We need a daycare inside BYU,1,Availability (+),,,,,
We need childcare or more funding in order to afford childcare! Please.,1,Availability (+),Financial Barrier,,,,
We need it,1,Availability (+),,,,,
We use a well-known childcare center near our home.,1,No issue,,,,,
We would like to have a child care service in the university.,1,Availability (+),,,,,
What childcare is available for students.,1,Availability (+),Information,,,,
"yeah, its hard man.",1,Availability (+),Mental Health,,,,
"Yes, I think there should be on campus affordable childcare opportunities.",1,Availability (+),Financial Barrier,,,,
"Yes. It is absolutely needed. Childcare is impossible to find right now, and I've tried pretty much everything—family help, taking baby to class with me, etc. Still haven't found any long-term solutions other than taking only 1 class/semester. I can't even tell you how many times I've considered quitting my program specifically because of the childcare issue. PLEASE, PLEASE develop some form of childcare assistance! It would absolutely make all the difference for me, and for many others I know!",1,Availability (+),Academic Progress,Mental Health,,,
